movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
furious-7;10;Thegodfatherson;/user/Thegodfatherson;Apr  3, 2015;"[ ""Furious 7 may be the closest thing we see to another spectacular entry. The mind blowing action, new cars, new cast members and a gentle goodbye to Paul Walker. But, the franchise still has not aged in the looks, Dubai sequences are particularly surprisingly excellent, and Jason Statham's Ian Shaw puts some muscle to the crazy driving Brit, Owen Shaw in F&F6. Vin Diesel and Michelle Rodriguez still have really good chemistry,   and Ludacris and Tyrese add the extra comic spice. This may be one of the best movies, I have ever seen. Wan has put heartfelt, family, ass kicking, hot babes, cars and romance all in one. And the F7 package rocks. I wont spoil the ending, but it is to die for. James Wan is a director to watch out for. #OneLastRide"" ]";2.0;7.0;2.0;5.0;inf;10
the-second-best-exotic-marigold-hotel;10;Thegodfatherson;/user/Thegodfatherson;Mar  8, 2015;"[ ""The Second Best Exotic Marigold Hotel is more joyous, fresh and funnier than the first one. Dev Patel, who is also starring in the monstrous robot drama- Chappie, gives a great performance. This film is a refreshing reboot from the aging senior comedies, but TSBEMH gives a new look at a whole new meaning at a whole new genre."" ]";1.0;2.0;1.0;1.0;inf;10
maggie;10;Thegodfatherson;/user/Thegodfatherson;May 10, 2015;"[ ""Every moment of Maggie is brilliant and emotional. Breslin and Schwarznegger both give solid performances, and the movie is very, very, well written. Henry Hobson has done justice to Arnold fans, and given him the role of his lifetime. I can compare Maggie to my favourite video game, The Last Of Us. The result is haunting, suspenseful, terrifying and thrilling, every moment was crackling with suspense, an eerie quietness and powerhouse performances and emotions. Wade knows that Maggie will die, but he stays close to her till her last breath. Maggie captures the relationship between a father and her daughter masterfully. It's dark and scary, and meets the requirements of a zombie outbreak and its effect hits home. Maggie deserves a staring ovation. It's brilliantly written, sharply directed, masterfully acted and well executed. Take your father to watch this one, it's a love letter to all fathers in the whole world. Being a father himself, Schwarznegger beautifully captures a role of a father struggling to help his daughter before she turns into the things he most hates. Maggie deserves to be watched. 10/10."" ]";9.0;10.0;9.0;1.0;inf;10
the-spongebob-movie-sponge-out-of-water;10;Thegodfatherson;/user/Thegodfatherson;Feb  6, 2015;"[ ""Zany, and the most quirky fun you will have at any movie. Sponge Out Of Water is a huge improvement over the first one. Sponegbob is Nickelodeon's king, it is the only reason Nick went out and made a movie for this. And believe me, it was satisfying. This movie looks and feels like it's for kids, but the humor is very adulty, and it seems like Nick wanted this to be like the first, older seasons of SpongeBob, quirky and fun. All the voices return from the show, but Antonio Bandreas played, really well, a pirate. This movie feels like a stoner drug trip, the effects are turned up so high, that the scenes move at a jarring pace. Sponge Out Of Water, kept me entertained and laughing during it's runtime. It is a a movie not only that kids can enjoy, but adults as well."" ]";3.0;6.0;3.0;3.0;inf;10
selma;10;Thegodfatherson;/user/Thegodfatherson;Jan  3, 2015;"[ ""Selma is a beautiful movie. It's a true biography on MLK and a really good one. The performances and stellar and the direction is brilliant. Selma is a realistic, taunt and emotional movie, that I think will be enjoyed by all audiences. This movie explores MLK in a whole different way, and really emphasizes on the Civil Rights Era very well. Selma is a stunner when it comes to performances, because Oyelowo is brilliant as MLK and truly deserves an Oscar for his performance. Overall, it's the best film of 2014 hands down, brilliant performances, harrowing emotion and epic direction make Selma, a brilliant film."" ]";2.0;6.0;2.0;4.0;inf;10
inherent-vice;10;Thegodfatherson;/user/Thegodfatherson;Jan 10, 2015;"[ ""Inherent Vice is the most enjoyable, funny and gripping movies of the year. It symbolizes and homages Tarantino, Drugs and Comedy in a way nobody has ever seen before. Joaquin Pheonix gives us a splendid performance as Doc Sportello and Josh Brolin gives a good performance as well. The chemistry between the two is funny to watch and very well written as well. The cast of A listers also does a great job. The sheer enjoyment of watching a funny, relaxing 60's drug fulled drama is just... Perfect. Inherent Vice is a movie, you need to catch on the big screen with a soda and popcorn in your hands. Paul Thomas Anderson really knows what Cinema means."" ]";2.0;3.0;2.0;1.0;inf;10
the-hobbit-the-battle-of-the-five-armies;10;Thegodfatherson;/user/Thegodfatherson;Dec 29, 2014;"[ ""Five Armies tops the previous films in every sense, providing us with a great amount of depth into its characters and giving us spectacular battle sequences. But is it a good movie? Well, the answer is yes. This final film in the long running and awesome trilogy is really a large spectacle I call it. The situations are FAR more emotional,  the acting is still the same as An Unexpected Journey and Desolation Of Smaug, but what this chapter improves is that it has a better, satisfying ending because the last two ended horribly.  This is total fan service and Peter Jackson steps up his game. Middle Earth just got better."" ]";2.0;5.0;2.0;3.0;inf;10
predestination;10;Thegodfatherson;/user/Thegodfatherson;Jan 11, 2015;[];4.0;5.0;4.0;1.0;inf;10
mad-max-fury-road;10;Thegodfatherson;/user/Thegodfatherson;May 16, 2015;"[ ""As the trailers stated, George Miller is a freaking mastermind. Becuase, the years we yearned for Mad Max, this dude was cooking up some serious entertainment. Fury Road is pure excellent filmmaking, the visuals are off the charts, the acting by Charlize Theron may be her absolute best and the stunts are bloodcurdling fun. The story starts out with Max (Tom Hardy), a former cop, who gets abducted by War Boys, skinny looking minions of Immortan Joe, to be their \""blood bank\"". He ends up being a blood bank for Nux (Nicholas Hoult), a brainwashed War Boy. The story entwines with the story of Furiosa (Charlize Theron) who involves Max's escape into HER plan to take tortured girls put of Immortan Joe's captivity, to a place where mankind will thrive, the place where she was born. For the rest of the runtime, experiance Joe's minions getting in their way, for a long car chase, that glued me to my seat for some heart pumping, bloody thrills. Acting wise, Hardy makes a good Max, he has the hint that Mel Gibson had  in the previous movies. The real kick is Theron, a fearless warrior, she has a dark past attached to her and the movie adapts to her story in her way as well. Hoult as Nux is not short of its kick as well. Mad Max has come a long way, Miller has crafted a new path for the Mad Max Universe, with some really interesting weird characters and Furiosa's story has more to it. But for what we have now, this is a standalone masterpiece,  easily the best in the series. Fury Road puts all other acrion movies to shame. I hope Miller brings us another venture into a dark, crazy wasteland. He is a man of his word, this is a masterpeice. DONT MISS IT."" ]";9.0;20.0;9.0;11.0;inf;10
the-fault-in-our-stars;10;Thegodfatherson;/user/Thegodfatherson;Jun 15, 2014;"[ ""The Fault In Our Stars is another movie based off of a best selling young adult book like the Hunger Games and Divergent etc. But something separates this film from the others- it's not a action, pulse pounding thriller like the others, and if I were to recall- no serious, humorous films that have been based on a YA book ever came out. Well, director Josh Boone is taking on the project of The Fault In Our Stars by John Green. Now, clearly this is a movie made for teens and as I watched, the whole theatre was booked full of 12 or 17 yr old girls. But this film is rich, gleeful and sad, which makes it one of the best film by far of this great year. I haven't seen a movie like this ever before! There were many choices for Hazel but Divergent star Shaliane Woodley qualifies and she gives a real oscar worthy performance. Augustus and Hazel were great characters and nicely balanced throughout the film. It's a must watch. Full on 10/10."" ]";2.0;4.0;2.0;2.0;inf;10
only-lovers-left-alive;10;Thegodfatherson;/user/Thegodfatherson;Apr 11, 2014;"[ ""Yes, Only Lovers Left Alive is another vampire movie. Yes, the characters are very pale and old and romantic. Yes, it is very much full of clichés and stereotypes. However, it is also wickedly smart, beautifully shot, filled to the brim with talent and full of cultural witticisms. This is a movie for film lovers and pop culture enthusiasts. It is a vampire film that takes advantage of its time span; cultural references dating back hundreds of years can be found at every corner. Only Lovers Left Alive does not focus on blood and gore, it is not a thriller nor a horror, it doesn't even truly focus on the world of vampires. Instead, Jarmusch studies the eternal, he explores the quiet, perhaps boring, every day life of a modern, intelligent and ancient being who has, quite literally, seen it all."" ]";6.0;9.0;6.0;3.0;inf;10
muppets-most-wanted;10;Thegodfatherson;/user/Thegodfatherson;Mar 22, 2014;"[ ""In fine Muppet tradition, it’s wall-to-wall cameos from big stars, Disney Channel kids and random celebrities who couldn’t say no to the Muppets. It doesn’t matter if you can’t catch them all, because like the gags, they come at such a rapid-fire pace that if they don’t stick, then you’re already onto the next one. Fully recreating an episode of The Muppet Show in one scene, drawing on every caper/spy franchise in the next, Muppets Most Wanted doesn’t try to hide its influences, or the well-worn nature of the genre, but will have you wondering if all heist films were always this much fun."" ]";1.0;3.0;1.0;2.0;inf;10
locke;10;Thegodfatherson;/user/Thegodfatherson;Apr 27, 2014;"[ ""Locke may be a gritty, hard hitting movie, but it's real highlight is Tom Hardy. Director Steven Knight explores the life of Ivan Locke (played by Tom Hardy) gets a mysterious phone call, which changes his life. Knight never stops the thrills, non stop thrills, with excellent acting by Hardy and his amazing accent. Locke is a new movie, something other directors haven't tried before. It's a pulp, thrilling and gritty drama that is worth watching in theatres. Ignore Brick Mansions, The Quiet Ones, The Other Woman and A Haunted House 2 and watch Locke, a well directed and acted movie."" ]";6.0;8.0;6.0;2.0;inf;10
dom-hemingway;10;Thegodfatherson;/user/Thegodfatherson;Apr  2, 2014;"[ ""Dom Hemigmway is funny, poignant and wild- all because of the awesome Jude Law. This british gangster comedy directed by Richard Shepard, offers comedy and a bundle of good performances. If that's not all, a british gangster Jude Law that will make you smile. Dom Hemingway is crazy and wild- in a good way."" ]";1.0;2.0;1.0;1.0;inf;10
cuban-fury;10;Thegodfatherson;/user/Thegodfatherson;Apr 11, 2014;"[ ""Nick Frost came up with the story for this comedy, and then it blossomed into something really funny, and with a nice Romantic Comedy edge.  When bullies stop him from dancing in the National championships Bruce turns his back on the whole thing and ends up being a very good draftsman for a engineering company.  While dealing with that one co-worker that we all have that deserves a punch in the face, played well by Chris O’Dowd.  When the new boss comes in and both Bruce and Drew want to fight for her attention it provides most of the humour.  This is a date night Romantic  Comedy that both sides of the relationship will find a lot to like.  It’s almost like a male version of Bridget Jones, but with Salsa dancing.  The dance off scene in the car park makes this a more special movie, although there is some help with special effects to make Frost dance better, you still have to give the man props for being able to move as well as he can for that size.  As a big guy myself I know I couldn’t dance like that, and not one of you would want that.  Don’t be fooled that this is a chick flick, it’s a good comedy that will make you laugh."" ]";6.0;6.0;6.0;0.0;inf;10
x-men-days-of-future-past;10;Thegodfatherson;/user/Thegodfatherson;May 26, 2014;"[ ""About 3 years ago, Mathew Vaughn tried a whole new level of Xmen with Xmen First Class, and despite being too long, it was brilliant. But now, in 2014, director of Superman Returns- Bryan Singer comes with another level of high class, well acted Xmen, with good results. The first think I want to say is that Days of Future Last isn't your typical action fulled, popcorn movie. If you like the comics or are familier with the characters and storylines, it's good to go for you. Some movies are so gripping and they stay so true to their comics and origins- DOFP is that type of movie. The Xmen send Wolverine played by Hugh Jackman in the past to stop the war that came in the future. Hugh Jackman was really good in this movie. Patrick Stewart and Ian McKellen were the highlights. Jennifer Lawrence and Halle Berry were there but they were normal fare. This is the most absorbing and greatest Xmen movie ever know in recent years, it deserves the hype, and sure as damn deserves this much pride. This is what Tarantino did to Pulp Fiction, what Nolan did to The Dark Knight, what Kubrick did to Clockwork Orange. This is real cinema. I think I have never watched a movie so exciting and refreshing. You walk out of the theatre felling a sense of joy or spotting those Easter eggs with your friends and family. That is why movies are made. And DOFP is just that and even more. Why wait? Devour this excellent piece of filmmaking."" ]";3.0;5.0;3.0;2.0;inf;10
the-lunchbox;10;Thegodfatherson;/user/Thegodfatherson;Mar  8, 2014;"[ ""Irrfan plays an accountant named Saajan Fernandez, based in Mumbai, who has been working day and night for years on files that now line his desk in hordes. His life is essentially as dry as the pencil lines he draws on paper while managing numbers. Having food from a restaurant during the lunch break; having a cigarette right before getting on the Mumbai local after work; reaching home to packed food from a restaurant, again; and finally smoking one more time before calling it a day - are things that Fernandez's day from the start to finish. Until one day, he gets a lunch box which is not his. A little mix-up leaves him with a lunch box packed with homemade food. One can tell. Nimrat Kaur plays Ila, a housewife and a mother. She cooks scrumptuous dishes that she hope will revive the magic between her husband and her. Only one day she realises the lunch box didn't reach her husband. And, so, begins the ritual of little notes resting atop a pile of 'rotis' in the lunch box. New hope - that holds a secret promise - springs up in both Fernandez's and Ila's lives. What ensues between these two characters is something that can't be given a tag - the relationship is too delicate for that to happen. It's almost as if the movie never ends. You walk out of the movie hall and the film continues with you. How it ends changes with your life experience. The Lunchbox is the best indian movie of the year. A sweet and absorbing drama from start to finish."" ]";2.0;3.0;2.0;1.0;inf;10
the-grand-budapest-hotel;10;Thegodfatherson;/user/Thegodfatherson;Mar  8, 2014;"[ ""All of which combines to make what feels like Wes Anderson’s most heartfelt film thus far. One that effortlessly straddles genres and works as both a nostalgic paean to a more innocent time and an examination of the very nature of storytelling itself. But most of all, it’s a beautifully realised account of the friendship that once formed between a lowly lobby boy and the legendary concierge who took him under his wing. Grand Budapest Hotel finds director Wes Anderson at the top of his game, delivering what may be his best film yet."" ]";23.0;27.0;23.0;4.0;inf;10
the-lego-movie;10;Thegodfatherson;/user/Thegodfatherson;Feb  7, 2014;[];5.0;13.0;5.0;8.0;inf;10
godzilla-2014;10;Thegodfatherson;/user/Thegodfatherson;May 17, 2014;"[ ""Loved it. Director Gareth Edwards made one of the best Godzillas in recent memory. Taylor Johnson was awesome and so was Cranston and Olsen. This Godzilla is fresh, scary and intense the whole ride through. Must watch in IMAX 3D. The story is also new and the tale that Godzilla tells a horrific tale of the origional Toho masterpiece. Scary, freaking and just awesome. Godzilla is one of my favorite movies that I have ever watched. Loved it."" ]";4.0;12.0;4.0;8.0;inf;10
inside-llewyn-davis;10;Thegodfatherson;/user/Thegodfatherson;Dec  7, 2013;"[ ""INSIDE LLEWYN DAVIS is a feat of filmmaking, taking the gentle strains of folk music and revealing it for the revolutionary act that it is. Not just because it has been the soundtrack of many social movements, but of personal ones, too. Oscar Isaac as Llewyn is revelatory, a bone-tired, supremely talented man whose passion for making music is struggling mightily against the whims of the industry and his demons  one being the loss of his musical partner to suicide. When Isaac sings, we're transported first to the dusky bars of 1960s West Village and, more important, to the jungle of discouragement and confusion he's living in. It's a powerful performance. Supporting him is a great ensemble, some new to the Coen Brothers family (Timberlake, thankfully subdued and nearly holding his own against the others) and some beloved veterans (Goodman). It's not just Isaac and the cast, though, that makes Inside Llewyn Davis remarkable. The music, with T-Bone Burnett in charge of the soundtrack, takes its rightful place front and center. And the Coens tell the story in a clever, elliptical way that drives home the futility and magic of a time. But it's not all sadness and tears. The Coens' singular humor runs a streak through the entire enterprise. Go see it."" ]";16.0;23.0;16.0;7.0;inf;10
frozen-2013;10;Thegodfatherson;/user/Thegodfatherson;Nov 27, 2013;"[ ""While we all love Disney and the happiness it brings to everyone, sometimes it over-shows ideals to young girls that might not come true in reality. \""Frozen\"" addresses the meaning of love right from the start, with an adult Anna, who  being separated from reality for her entire life  has no idea what love truly means. .As an avid Disney fan, and as someone with two sisters, this is a movie that people of all ages will love to see."" ]";44.0;68.0;44.0;24.0;inf;10
the-wolf-of-wall-street;10;Thegodfatherson;/user/Thegodfatherson;Dec 25, 2013;"[ ""In the end, The Wolf of Wall Street is an outrageous and repugnant reflection of something very real  and very rotten  at the core of our society. Some people will inevitably be so put off by the harsh composition of the message that they fail to heed the importance of that message; but in presenting so much of the bad and the ugly behind Wall Street so unflinchingly, Scorsese has crafted an insightful  and important  deconstruction of post-millennial America’s moral erosion. These are the barbarians at our gates."" ]";31.0;56.0;31.0;25.0;inf;10
american-hustle;10;Thegodfatherson;/user/Thegodfatherson;Dec 13, 2013;"[ ""“American Hustle” may have an awkward start, especially as it takes a moment to get used to Russell’s style and tone, but once “Hustle” finds its footing it really takes off and is one of the most intelligent and enjoyable films of the year."" ]";8.0;13.0;8.0;5.0;inf;10
the-hobbit-the-desolation-of-smaug;10;Thegodfatherson;/user/Thegodfatherson;Dec 13, 2013;"[ ""J. R. R. Tolkien purists will likely have more than a few qualms with Jackson’s second chapter in The Hobbit film series; however, as a movie experience, the director has once again delivered a humorous and enthralling (read: downright entertaining) adventure in Middle-earth with rich characters, sharp visuals, and an epic storyline. Time will tell whether all of the added narrative material pays off when The Hobbit: There and Back Again opens in theaters on December 17th 2014, but in the meantime, it’s encouraging to see Jackson is committed to presenting an impactful version of The Hobbit book for the moviegoing medium  even if it means the director has to stand by a few especially controversial changes."" ]";7.0;16.0;7.0;9.0;inf;10
jackass-presents-bad-grandpa;10;Thegodfatherson;/user/Thegodfatherson;Oct 25, 2013;"[ ""Bad Grandpa is certainly one of the funniest and most outrageous comedies of the year. Whether it's Irv going to a strip club and almost getting punched out by a male stripper, passing his grandson off as a girl so they can crash a kiddie beauty contest, or trying to transport and dispose of his late wife's body, Bad Grandpa offers plenty of situations where the hidden cameras capture the varied and hilarious responses of onlookers. There are times when it seems several of these surprised viewers must be plants, and you do find yourself questioning the legitimacy of some of these \""candid\"" moments. Still, it's funny as hell. The range of reactions (when you're not wondering who's a plant and what bit was probably scripted) range from the amused to the utterly horrified. It's amazing how much craziness people will put up with until they've finally had enough. The movie's biggest surprise is how sweet it can be at times. You come to legitimately care about Irv and Billy and are invested in how their journey together turns out and if they can work out their relationship. There's a set-piece in a biker bar near the end that's surprisingly touching (albeit in-between set-ups and pay-offs to different gags). Knoxville and Niccol have great chemistry together; the movie simply wouldn't work if they didn't. Niccol is a real find. He seems like a real kid rather than a \""movie kid.\"" With his hangdog countenance and deadpan manner, Niccol comes across like a little Walter Matthau. The Jackass gang strike again with the giddily gonzo Bad Grandpa, featuring Johnny Knoxville's Irv Zisman at his most gloriously inappropriate."" ]";4.0;9.0;4.0;5.0;inf;10
dallas-buyers-club;10;Thegodfatherson;/user/Thegodfatherson;Nov  1, 2013;"[ ""Though it may be a story of sickness and death, \""Dallas Buyers Club\"" is about the rebirth of a homophobe. Suddenly an outcast among his heterosexual friends, Woodroof reluctantly warms to a new community  particularly a drug-addicted transsexual named Rayon who becomes his business partner. Rayon is played by an earnestly committed Jared Leto who nevertheless comes off as a theatrical drag queen cliche. They run the buyers club together out of a cheap motel, the unlikeliest pair of Bonnie and Clyde renegades yet. Quebec filmmaker Jean-Marc Vallee (\""The Young Victoria\"") directs \""Dallas Buyers Club\"" with a loose naturalism, seedy environs and lively humour that prevents the film from becoming over-sentimentalized. It's a true story long in the making (screenplay by Craig Borten and Melisa Wallack) based on Woodroof's remarkable late life. But what \""Dallas Buyers Club\"" is, ultimately, is the apotheosis of another transformation: McConaughey's great U-turn. A few years after sinking into rote romantic comedies, \""Dallas Buyers Club\"" tops an astonishing streak for the 43-year-old that has included \""Mud,\""  Bernie\"". He lost more than 40 pounds for the role (Leto, too, is startlingly thin), and appears so gaunt as to wipe away any memory of his rosier, more superficial performances. Extreme weight loss, too, can be a superficial ploy, but McConaughey inhabits the clamouring, clawing Woodroof, whose zest for life (which McConaughey has always exuded) flourishes with the meaning of a moral cause. He stomps down hospital hallways in cowboy boots, a foul-mouthed champion against the system, spouting obscenities in a Texas drawl. In one late scene that could be either Woodroof or McConaughey, he looks in the mirror, and smiles."" ]";0.0;1.0;0.0;1.0;inf;10
the-counselor;10;Thegodfatherson;/user/Thegodfatherson;Oct 25, 2013;"[ ""The Counselor will leave many mystified  even those who enjoy it. The story envelops rather than unspools, a guttural experience. As Scott stages the confined action, bouncing from location to location like a Pinter play's moving sets, the musical score pulsates with dread. In one scene, a nameless assailant strings a steel wire across a desert road, intending to slice a speeding biker who will eventually appear. That's the movie in one note: taught, prophetic, and hushed. We don't have our finger on why this is happening, but we can feel what's coming. We know it's grisly. We can't look away."" ]";7.0;17.0;7.0;10.0;inf;10
enough-said;10;Thegodfatherson;/user/Thegodfatherson;Sep 20, 2013;"[ ""It’s at this fine-grained observation of human folly that Holofcener excels, without ever abandoning her compassion for her wayward, fumbling characters. A subplot about Eva’s best friend’s inability to fire her housekeeper gestures, a bit too obliquely, at social satire (Holofcener’s last two films, Friends With Money and Please Give, dealt more explicitly with matters of class and social mobility). But I appreciate that this movie doesn’t make us choose between context-based character humor and snappy romantic banter—instead, it provides both in great bounty. Elaine Benes and Tony Soprano may seem an unlikely pairing, but Louis-Dreyfus and Gandolfini make strangely persuasive bedfellows—in fact, they’re one of the most impossible-not-to-root-for on-screen couples in recent memory. Gandolfini, by all accounts, was a gentle, modest, and sensitive man who felt emotionally depleted by the violent, dark roles he was generally called on to play in the wake of The Sopranos. Here, we get a glimpse of the second career he could have had as a light comedic heartthrob. That it won’t ever come to be is only one of countless reasons to wish Gandolfini were still around."" ]";0.0;0.0;0.0;0.0;inf;10
man-of-tai-chi;10;Thegodfatherson;/user/Thegodfatherson;Nov  1, 2013;"[ ""It may not be groundbreaking, but Man of Tai Chi represents an agreeably old-fashioned picture for martial arts fans  and a solid debut for first-time director Keanu Reeves. The music is sizzling and Tiger Chen doesn't need wires, it's spectacular. Man Of Tai Chi is one of the best martial arts films after Gareth Evans's The Raid."" ]";1.0;1.0;1.0;0.0;inf;10
2-guns;10;Thegodfatherson;/user/Thegodfatherson;Aug  3, 2013;"[ ""With Mark Wahlberg and Denzel Washington teaming up for ’2 Guns,’ a lighthearted action movie about a ragtag undercover duo who get themselves into a world of trouble after robbing the wrong bank, we were ready to be entertained. But we had no idea it’d make us laugh so hard! And it doesn’t hurt that the jokes are hilarious. Between Marky Mark telling Edward James Olmos that he looks like a “Mexican Albert Einstein” (which is very true), and Denzel slapping people around with abandon, 2 Guns might be better classified as a comedy. Here’s how funny it was  it actually got me to laugh at a fart joke. That’s historic stuff right there."", ""You can probably already guess how 2 Guns ends, but that isn’t the point. The point is you won’t want it to end, because this thing is just too fun to watch."" ]";0.0;2.0;0.0;2.0;inf;10
